file_name,transcribed_text,phrase,sentence_wer,alignment_visualization
1249120_44415714_12774994.wav,You're basically...,I read a book for along time and when I finished reading I feel head ache,1.0,"=== SENTENCE 1 ===

REF:     i      read a book for along time and when i finished reading i feel head ache
HYP: youre basically * **** *** ***** **** *** **** * ******** ******* * **** **** ****
         S         S D    D   D     D    D   D    D D        D       D D    D    D    D

=== SUMMARY ===
number of sentences: 1
substitutions=2 deletions=14 insertions=0 hits=0

mer=100.00%
wil=100.00%
wip=0.00%
wer=100.00%
"
1249120_44323331_89529293.wav,My hair is healing out in hog amount.,My hair is falling out in huge amount,0.25,"=== SENTENCE 1 ===

REF: my hair is falling out in huge amount
HYP: my hair is healing out in  hog amount
                      S           S       

=== SUMMARY ===
number of sentences: 1
substitutions=2 deletions=0 insertions=0 hits=6

mer=25.00%
wil=43.75%
wip=56.25%
wer=25.00%
"
1249120_44263136_64809479.wav,My foot is hurting so much.,My foot is hurting so much.,0.0,"=== SUMMARY ===
number of sentences: 1
substitutions=0 deletions=0 insertions=0 hits=6

mer=0.00%
wil=0.00%
wip=100.00%
wer=0.00%
"
1249120_44259428_83019694.wav,I feel very in the lower ground.,I feel pain in the lower back,0.2857142857142857,"=== SENTENCE 1 ===

REF: i feel pain in the lower   back
HYP: i feel very in the lower ground
               S                   S

=== SUMMARY ===
number of sentences: 1
substitutions=2 deletions=0 insertions=0 hits=5

mer=28.57%
wil=48.98%
wip=51.02%
wer=28.57%
"
1249120_44259428_45992221.wav,I feel very much.,i feel pain in my stomach,0.6666666666666666,"=== SENTENCE 1 ===

REF: i feel pain   in my stomach
HYP: i feel very much ** *******
               S    S  D       D

=== SUMMARY ===
number of sentences: 1
substitutions=2 deletions=2 insertions=0 hits=2

mer=66.67%
wil=83.33%
wip=16.67%
wer=66.67%
"
1249120_44273314_28827187.wav,"My child has scuff all night, she can't sleep.","my child has cough all night, she can't sleep",0.1111111111111111,"=== SENTENCE 1 ===

REF: my child has cough all night she cant sleep
HYP: my child has scuff all night she cant sleep
                      S                         

=== SUMMARY ===
number of sentences: 1
substitutions=1 deletions=0 insertions=0 hits=8

mer=11.11%
wil=20.99%
wip=79.01%
wer=11.11%
"
1249120_44294866_20041027.wav,I am disappointed.,i'm disappointed,1.0,"=== SENTENCE 1 ===

REF: * im disappointed
HYP: i am disappointed
     I  S             

=== SUMMARY ===
number of sentences: 1
substitutions=1 deletions=0 insertions=1 hits=1

mer=66.67%
wil=83.33%
wip=16.67%
wer=100.00%
"
1249120_44294866_98831261.wav,I feel it easy when he said in front of my laptop for an hour or two. What possibly could be the reason?,"I feel dizzy when I set in-front of my laptop for an hour or two, what possibly could be the reason?",0.2857142857142857,"=== SENTENCE 1 ===

REF: i feel ** dizzy when **    i set infront of my laptop for an hour or two what possibly could be the reason
HYP: i feel it  easy when he said  in   front of my laptop for an hour or two what possibly could be the reason
             I     S       I    S   S       S                                                                  

=== SUMMARY ===
number of sentences: 1
substitutions=4 deletions=0 insertions=2 hits=17

mer=26.09%
wil=40.17%
wip=59.83%
wer=28.57%
"
1249120_44263136_42546148.wav,I feel pain inside and I can't identify it.,I feel pain inside and I can not identify it,0.2,"=== SENTENCE 1 ===

REF: i feel pain inside and i  can not identify it
HYP: i feel pain inside and i cant *** identify it
                                 S   D            

=== SUMMARY ===
number of sentences: 1
substitutions=1 deletions=1 insertions=0 hits=8

mer=20.00%
wil=28.89%
wip=71.11%
wer=20.00%
"
1249120_44323331_89173398.wav,I have an indication.,I have an indigestion,0.25,"=== SENTENCE 1 ===

REF: i have an indigestion
HYP: i have an  indication
                         S

=== SUMMARY ===
number of sentences: 1
substitutions=1 deletions=0 insertions=0 hits=3

mer=25.00%
wil=43.75%
wip=56.25%
wer=25.00%
"
1249120_44323331_27898617.wav,I feel the way I stand up,I feel dizzy whenever I stand up.,0.2857142857142857,"=== SENTENCE 1 ===

REF: i feel dizzy whenever i stand up
HYP: i feel   the      way i stand up
                S        S           

=== SUMMARY ===
number of sentences: 1
substitutions=2 deletions=0 insertions=0 hits=5

mer=28.57%
wil=48.98%
wip=51.02%
wer=28.57%
"
1249120_44259428_102515958.wav,"When I was drunk, I had an injury from a sport in my neck.",When I was young I had an injury from sports in my knee.,0.3076923076923077,"=== SENTENCE 1 ===

REF: when i was young i had an injury from * sports in my knee
HYP: when i was drunk i had an injury from a  sport in my neck
                    S                      I      S          S

=== SUMMARY ===
number of sentences: 1
substitutions=3 deletions=0 insertions=1 hits=10

mer=28.57%
wil=45.05%
wip=54.95%
wer=30.77%
"
